stop_id,north_direction_name,south_direction_name
F34,Manhattan,Coney Island - Stillwell Av
F35,Manhattan,Coney Island - Stillwell Av
F36,Manhattan,Coney Island - Stillwell Av
F38,Manhattan,Coney Island - Stillwell Av
F39,Manhattan,Coney Island - Stillwell Av
G05,Jamaica Center,Manhattan
G06,Jamaica Center,Manhattan
G07,Jamaica Center,Manhattan
G08,Forest Hills and Jamaica,Manhattan
G09,Forest Hills and Jamaica,Manhattan
G10,Forest Hills and Jamaica,Manhattan
G11,Forest Hills and Jamaica,Manhattan
G12,Forest Hills and Jamaica,Manhattan
G13,Forest Hills and Jamaica,Manhattan
G14,Forest Hills and Jamaica,Manhattan
G15,Forest Hills and Jamaica,Manhattan
G16,Forest Hills and Jamaica,Manhattan
G18,Forest Hills and Jamaica,Manhattan
G19,Forest Hills and Jamaica,Manhattan
G20,Forest Hills and Jamaica,Manhattan
G21,Forest Hills and Jamaica,Manhattan
G22,Court Sq - 21 St,Brooklyn
G24,Court Sq - 21 St,Brooklyn
G26,Queens,Church Av
G28,Queens,Church Av
G29,Queens,Church Av
G30,Queens,Church Av
G31,Queens,Church Av
G32,Queens,Church Av
G33,Queens,Church Av
G34,Queens,Church Av
G35,Queens,Church Av
G36,Queens,Church Av
