stop_id,direction_id,direction_name
G19,0,"Manhattan"
G19,1,"Forest Hills and Jamaica"
G20,0,"Manhattan"
G20,1,"Forest Hills and Jamaica"
G21,0,"Manhattan"
G21,1,"Forest Hills and Jamaica"
G22,0,"Brooklyn"
G22,1,"Court Sq - 21 St"
G24,0,"Brooklyn"
G24,1,"Court Sq - 21 St"
G26,0,"Church Av"
G26,1,"Queens"
G28,0,"Church Av"
G28,1,"Queens"
G29,0,"Church Av"
G29,1,"Queens"
G30,0,"Church Av"
G30,1,"Queens"
G31,0,"Church Av"
G31,1,"Queens"
G32,0,"Church Av"
G32,1,"Queens"
G33,0,"Church Av"
G33,1,"Queens"
G34,0,"Church Av"
G34,1,"Queens"
G35,0,"Church Av"
G35,1,"Queens"
G36,0,"Church Av"
G36,1,"Queens"
H01,0,"The Rockaways"
H01,1,"Manhattan"
H02,0,"The Rockaways"
H02,1,"Manhattan"
H03,0,"The Rockaways"
H03,1,"Manhattan"
H04,0,"The Rockaways"
H04,1,"Manhattan"
H06,0,"Far Rockaway"
H06,1,"Manhattan"
H07,0,"Far Rockaway"
H07,1,"Manhattan"
H08,0,"Far Rockaway"
H08,1,"Manhattan"
H09,0,"Far Rockaway"
H09,1,"Manhattan"
H10,0,"Far Rockaway"
H10,1,"Manhattan"
H11,0,"Far Rockaway"
H11,1,"Manhattan"
H12,0,"Rockaway Park - Beach 116 St"
H12,1,"Manhattan"
H13,0,"Rockaway Park - Beach 116 St"
H13,1,"Manhattan"
H14,0,"Rockaway Park - Beach 116 St"
H14,1,"Manhattan"
H15,0,"Rockaway Park - Beach 116 St"
H15,1,"Manhattan"
H19,0,"Manhattan"
H19,1,"Jamaica Center"
J12,0,"Manhattan"
J12,1,"Jamaica Center"
J13,0,"Manhattan"
J13,1,"Jamaica Center"
J14,0,"Manhattan"
J14,1,"Jamaica Center"
J15,0,"Manhattan"
J15,1,"Jamaica Center"
J16,0,"Manhattan"
J16,1,"Jamaica Center"
J17,0,"Manhattan"
J17,1,"Jamaica Center"
J19,0,"Manhattan"
J19,1,"Jamaica Center"
J20,0,"Manhattan"
J20,1,"Jamaica Center"
J21,0,"Manhattan"
J21,1,"Jamaica Center"
J22,0,"Manhattan"
J22,1,"Jamaica Center"
J23,0,"Manhattan"
J23,1,"Jamaica Center"
J24,0,"Manhattan"
J24,1,"Jamaica Center"
J27,0,"Manhattan"
J27,1,"Jamaica Center"
J28,0,"Manhattan"
J28,1,"Jamaica Center"
J29,0,"Manhattan"
J29,1,"Jamaica Center"
J30,0,"Manhattan"
J30,1,"Jamaica Center"
J31,0,"Manhattan"
J31,1,"Jamaica Center"
L01,0,"East Side and Brooklyn"
L01,1,"West Side (8 Av)"
L02,0,"East Side and Brooklyn"
L02,1,"West Side (8 Av)"
L03,0,"East Side and Brooklyn"
L03,1,"West Side (8 Av)"
L05,0,"East Side and Brooklyn"
L05,1,"West Side (8 Av)"
L06,0,"East Side and Brooklyn"
L06,1,"West Side (8 Av)"
L08,0,"Rockaway Pkwy - Canarsie"
L08,1,"Manhattan"
L10,0,"Rockaway Pkwy - Canarsie"
L10,1,"Manhattan"
L11,0,"Rockaway Pkwy - Canarsie"
L11,1,"Manhattan"
L12,0,"Rockaway Pkwy - Canarsie"
L12,1,"Manhattan"
L13,0,"Rockaway Pkwy - Canarsie"
L13,1,"Manhattan"
L14,0,"Rockaway Pkwy - Canarsie"
L14,1,"Manhattan"
L15,0,"Rockaway Pkwy - Canarsie"
L15,1,"Manhattan"
L16,0,"Rockaway Pkwy - Canarsie"
L16,1,"Manhattan"
L17,0,"Rockaway Pkwy - Canarsie"
L17,1,"Manhattan"
L19,0,"Rockaway Pkwy - Canarsie"
L19,1,"Manhattan"
L20,0,"Rockaway Pkwy - Canarsie"
L20,1,"Manhattan"
L21,0,"Rockaway Pkwy - Canarsie"
L21,1,"Manhattan"
L22,0,"Rockaway Pkwy - Canarsie"
L22,1,"Manhattan"
L24,0,"Rockaway Pkwy - Canarsie"
L24,1,"Manhattan"
L25,0,"Rockaway Pkwy - Canarsie"
L25,1,"Manhattan"
L26,0,"Rockaway Pkwy - Canarsie"
L26,1,"Manhattan"
L27,0,"Rockaway Pkwy - Canarsie"
L27,1,"Manhattan"
L28,0,"Rockaway Pkwy - Canarsie"
L28,1,"Manhattan"
L29,0,"Rockaway Pkwy - Canarsie"
L29,1,"Manhattan"
M01,0,"Middle Village - Metropolitan Av"
M01,1,"Manhattan"
M04,0,"Middle Village - Metropolitan Av"
M04,1,"Manhattan"
M05,0,"Middle Village - Metropolitan Av"
M05,1,"Manhattan"
M06,0,"Middle Village - Metropolitan Av"
M06,1,"Manhattan"
M08,0,"Middle Village - Metropolitan Av"
M08,1,"Manhattan"
M09,0,"Middle Village - Metropolitan Av"
M09,1,"Manhattan"
M10,0,"Middle Village - Metropolitan Av"
M10,1,"Manhattan"
M11,0,"Jamaica Center and Middle Village"
M11,1,"Manhattan"
M12,0,"Jamaica Center and Middle Village"
M12,1,"Manhattan"
M13,0,"Jamaica Center and Middle Village"
M13,1,"Manhattan"
M14,0,"Jamaica Center and Middle Village"
M14,1,"Manhattan"
M16,0,"Jamaica Center and Middle Village"
M16,1,"Manhattan"
M18,0,"Brooklyn"
M18,1,"Downtown and Uptown"
M19,0,"Uptown and Brooklyn"
M19,1,"Downtown (Broad St)"
M20,0,"Uptown and Brooklyn"
M20,1,"Downtown (Broad St)"
M21,0,"Uptown and Brooklyn"
M21,1,"Downtown (Broad St)"
M22,0,"Uptown and Brooklyn"
M22,1,"Downtown (Broad St)"
M23,0,"Uptown and Brooklyn"
M23,1,"Downtown (Broad St)"
N02,0,"Coney Island - Stillwell Av"
N02,1,"Manhattan"
